"NAME10","NAMELSAD10","Evap_tavg","Qs_tavg","Rainf_f_tavg","Tair_f_tavg","file"
"Worcester","Worcester County",1.40270573995492e-05,6.65612606098875e-06,3.81176956175802e-05,274.420937432183,"201001.nc4"
"Harford","Harford County",1.43817762198689e-05,3.87709486527786e-06,3.51126485232574e-05,272.239044189453,"201001.nc4"
"Montgomery","Montgomery County",1.0939891315805e-05,2.29310919053205e-06,2.71031077924514e-05,272.096522013346,"201001.nc4"
"Washington","Washington County",1.65973269758979e-05,5.65331629331922e-06,3.77931646653451e-05,270.045989990234,"201001.nc4"
"Carroll","Carroll County",1.46679082966082e-05,1.89501961565177e-06,3.0173570022188e-05,271.342745694247,"201001.nc4"
"St. Mary's","St. Mary's County",1.55849596591328e-05,6.44921444539002e-06,4.059291214534e-05,273.584464333274,"201001.nc4"
"Anne Arundel","Anne Arundel County",1.28930363037701e-05,3.30149790291519e-06,2.96198486466892e-05,272.955861409505,"201001.nc4"
"Frederick","Frederick County",1.50131972287244e-05,1.99193052944443e-06,3.07320106702928e-05,271.527202899639,"201001.nc4"
"Howard","Howard County",1.33958918533088e-05,3.12691543058463e-06,3.01168659331909e-05,271.951555524554,"201001.nc4"
"Prince George's","Prince George's County",1.08064416887525e-05,3.20505654372027e-06,2.81968226166403e-05,272.88809967041,"201001.nc4"
"Wicomico","Wicomico County",1.39458866973049e-05,7.42008042683058e-06,4.54385405343298e-05,273.826154073079,"201001.nc4"
"Charles","Charles County",1.61504188023779e-05,2.81971559464485e-06,3.15341808345693e-05,273.237400054932,"201001.nc4"
"Talbot","Talbot County",1.50017372756598e-05,3.02993019626488e-06,3.50399127455603e-05,273.36014175415,"201001.nc4"
"Somerset","Somerset County",1.3665954611497e-05,5.56252760159421e-06,3.93448547886995e-05,274.195471869575,"201001.nc4"
"Baltimore","Baltimore County",1.19600447305857e-05,4.01319313267676e-06,3.2198822635918e-05,272.01887512207,"201001.nc4"
"Allegany","Allegany County",NA,NA,NA,NA,"201001.nc4"
"Dorchester","Dorchester County",1.46490251609066e-05,5.42786368384895e-06,4.21173953167026e-05,273.583709716797,"201001.nc4"
"Calvert","Calvert County",1.66285226441687e-05,4.37975414310391e-06,3.4953706095361e-05,273.314797537667,"201001.nc4"
"Cecil","Cecil County",1.45294579851907e-05,3.84072637871213e-06,3.57906549955563e-05,272.513332790799,"201001.nc4"
"Garrett","Garrett County",NA,NA,NA,NA,"201001.nc4"
"Baltimore","Baltimore city",7.13121895993633e-06,4.84618294649408e-06,3.04502846120158e-05,272.527191162109,"201001.nc4"
"Caroline","Caroline County",1.47123696984232e-05,3.27118017493275e-06,3.62874428295375e-05,273.239769829644,"201001.nc4"
"Kent","Kent County",1.45468627579248e-05,3.4883403685626e-06,3.30507286384495e-05,272.976003011068,"201001.nc4"
"Queen Anne's","Queen Anne's County",1.43512657318338e-05,3.60983056618186e-06,3.13543525687869e-05,273.120366023137,"201001.nc4"
"Worcester","Worcester County",2.46747977143968e-05,9.38888284248865e-06,3.63216046631958e-05,273.576777140299,"201002.nc4"
"Harford","Harford County",1.45119587283592e-05,4.09381362425682e-06,3.40263107621771e-05,270.794151306152,"201002.nc4"
"Montgomery","Montgomery County",1.61540456247167e-05,3.1385297537175e-06,3.21422474674667e-05,270.663228352865,"201002.nc4"
"Washington","Washington County",1.4361346984515e-05,7.86768737270904e-07,2.95020217890851e-05,268.695556640625,"201002.nc4"
"Carroll","Carroll County",1.33253755517547e-05,1.55750428182893e-06,3.00307987014424e-05,269.912267511541,"201002.nc4"
"St. Mary's","St. Mary's County",1.93481863871884e-05,6.63528840050276e-06,3.26508287054656e-05,272.369323730469,"201002.nc4"
"Anne Arundel","Anne Arundel County",1.97111075976864e-05,4.35272939588079e-06,3.27010854258939e-05,271.504030863444,"201002.nc4"
