"NAME10","NAMELSAD10","Evap_tavg","Qs_tavg","Rainf_f_tavg","Tair_f_tavg","file"
"Portsmouth","Portsmouth city",NA,NA,NA,NA,"201001.nc4"
"Surry","Surry County",1.39663726486106e-05,7.79718823196163e-06,5.03246055814088e-05,274.574375152588,"201001.nc4"
"Hampton","Hampton city",9.5587529358454e-07,7.61438627705502e-06,4.67477057100041e-05,275.20280456543,"201001.nc4"
"Mathews","Mathews County",1.48951112350915e-05,9.3932621894055e-06,5.36373299837578e-05,274.731964111328,"201001.nc4"
"Gloucester","Gloucester County",1.45235266018062e-05,9.01023730648376e-06,5.49142669115099e-05,274.555698394775,"201001.nc4"
"Virginia Beach","Virginia Beach city",NA,NA,NA,NA,"201001.nc4"
"Isle of Wight","Isle of Wight County",1.12850887717286e-05,7.10009585630292e-06,4.41631145804427e-05,274.925038655599,"201001.nc4"
"Chesapeake","Chesapeake city",NA,NA,NA,NA,"201001.nc4"
"Newport News","Newport News city",8.38725668472762e-07,9.6763797046151e-06,4.79430418636184e-05,274.893646240234,"201001.nc4"
"James City","James City County",1.4812068457104e-05,8.98960911399627e-06,5.42492789463722e-05,274.457847595215,"201001.nc4"
"Suffolk","Suffolk city",1.49105626405799e-05,7.6127753345645e-06,5.01595859532245e-05,275.163116455078,"201001.nc4"
"Poquoson","Poquoson city",NA,NA,5.19754212291446e-05,275.1640625,"201001.nc4"
"Norfolk","Norfolk city",NA,NA,0,275.492523193359,"201001.nc4"
"York","York County",1.51787307913764e-05,1.0682320498745e-05,5.92748358030804e-05,274.666265869141,"201001.nc4"
"Williamsburg","Williamsburg city",1.51821914187167e-05,1.14773853662579e-05,6.09512874992409e-05,274.518595377604,"201001.nc4"
"Hanover","Hanover County",1.3451362584809e-05,4.56911876816386e-06,4.02781027202894e-05,273.758688790458,"201001.nc4"
"Powhatan","Powhatan County",NA,NA,NA,NA,"201001.nc4"
"King and Queen","King and Queen County",1.37669923105932e-05,5.10849213242182e-06,4.30082400271203e-05,273.875007629395,"201001.nc4"
"Petersburg","Petersburg city",1.04964628917514e-05,5.76551110498258e-06,4.03078647650545e-05,274.217155456543,"201001.nc4"
"Henrico","Henrico County",7.72463110365607e-06,6.01000715505506e-06,3.95329698221758e-05,273.891250610352,"201001.nc4"
"King William","King William County",1.36700309667503e-05,4.74673140615778e-06,4.23248425249767e-05,273.878192901611,"201001.nc4"
"Chesterfield","Chesterfield County",1.04016676800711e-05,5.90128684052615e-06,4.07854195145774e-05,274.08748626709,"201001.nc4"
"Richmond","Richmond city",1.51122958413907e-06,7.67539495427627e-06,3.96103714592755e-05,273.813659667969,"201001.nc4"
"Cumberland","Cumberland County",NA,NA,NA,NA,"201001.nc4"
"Colonial Heights","Colonial Heights city",7.29727344150888e-06,7.31455429558991e-06,3.97088642785093e-05,274.215759277344,"201001.nc4"
"Goochland","Goochland County",NA,NA,NA,NA,"201001.nc4"
"Caroline","Caroline County",1.37768250689468e-05,4.47362557614334e-06,3.52768503424678e-05,273.407867431641,"201001.nc4"
"Sussex","Sussex County",1.31300168959569e-05,4.72676347840206e-06,4.32103925049887e-05,274.542930603027,"201001.nc4"
"Prince George","Prince George County",1.22586978932304e-05,4.82136371715569e-06,4.07631800953823e-05,274.324375152588,"201001.nc4"
"Dinwiddie","Dinwiddie County",1.3414907243714e-05,4.43669682681502e-06,4.11973906011553e-05,274.275054931641,"201001.nc4"
"Louisa","Louisa County",NA,NA,NA,NA,"201001.nc4"
"Charles City","Charles City County",1.39116183769753e-05,5.2919669997209e-06,4.29927022196352e-05,274.290018717448,"201001.nc4"
"New Kent","New Kent County",1.38819546918967e-05,4.76457544209552e-06,4.23366815084592e-05,274.094226074219,"201001.nc4"
"Amelia","Amelia County",NA,NA,NA,NA,"201001.nc4"
"Hopewell","Hopewell city",1.0601409485389e-05,5.73313400309416e-06,4.09017084166408e-05,274.257339477539,"201001.nc4"
"Winchester","Winchester city",NA,NA,NA,NA,"201001.nc4"
"Frederick","Frederick County",NA,NA,NA,NA,"201001.nc4"
"Culpeper","Culpeper County",NA,NA,NA,NA,"201001.nc4"
"Tazewell","Tazewell County",NA,NA,NA,NA,"201001.nc4"
"Rockingham","Rockingham County",NA,NA,NA,NA,"201001.nc4"
"Harrisonburg","Harrisonburg city",NA,NA,NA,NA,"201001.nc4"
"Charlottesville","Charlottesville city",NA,NA,NA,NA,"201001.nc4"
"Fluvanna","Fluvanna County",NA,NA,NA,NA,"201001.nc4"
"Greene","Greene County",NA,NA,NA,NA,"201001.nc4"
"Nelson","Nelson County",NA,NA,NA,NA,"201001.nc4"
"Albemarle","Albemarle County",NA,NA,NA,NA,"201001.nc4"
"Danville","Danville city",NA,NA,NA,NA,"201001.nc4"
"Pittsylvania","Pittsylvania County",NA,NA,NA,NA,"201001.nc4"
"Martinsville","Martinsville city",NA,NA,NA,NA,"201001.nc4"
"Henry","Henry County",NA,NA,NA,NA,"201001.nc4"
"Bristol","Bristol city",NA,NA,NA,NA,"201001.nc4"
"Washington","Washington County",NA,NA,NA,NA,"201001.nc4"
"Scott","Scott County",NA,NA,NA,NA,"201001.nc4"
"Waynesboro","Waynesboro city",NA,NA,NA,NA,"201001.nc4"
"Staunton","Staunton city",NA,NA,NA,NA,"201001.nc4"
"Augusta","Augusta County",NA,NA,NA,NA,"201001.nc4"
"Clarke","Clarke County",NA,NA,NA,NA,"201001.nc4"
"Fredericksburg","Fredericksburg city",1.41706359499949e-05,2.35743380017084e-06,3.08286334984587e-05,273.278091430664,"201001.nc4"
"Stafford","Stafford County",1.49248475281638e-05,1.91909471141116e-06,2.97222624794813e-05,273.134643554688,"201001.nc4"
"Alexandria","Alexandria city",7.95565495081973e-06,3.36263104827594e-06,2.79069636235363e-05,272.930030822754,"201001.nc4"
"Loudoun","Loudoun County",8.88077678003659e-06,2.94113381945256e-06,2.7102997895175e-05,272.461680094401,"201001.nc4"
"Warren","Warren County",NA,NA,NA,NA,"201001.nc4"
"Fauquier","Fauquier County",NA,NA,NA,NA,"201001.nc4"
"Falls Church","Falls Church city",5.45970260645845e-06,3.59361479240761e-06,2.72395755018806e-05,272.621917724609,"201001.nc4"
"Prince William","Prince William County",1.02538547253062e-05,3.14813811996828e-06,2.880418105633e-05,272.919692993164,"201001.nc4"
"Spotsylvania","Spotsylvania County",1.41964737849776e-05,2.62809817286325e-06,3.13305681629572e-05,273.327484130859,"201001.nc4"
"Manassas Park","Manassas Park city",1.59870960487751e-05,1.02879766927799e-06,2.77639901469229e-05,272.750305175781,"201001.nc4"
"Fairfax","Fairfax County",8.29292669853506e-06,3.22593593674962e-06,2.82056510817104e-05,272.680460611979,"201001.nc4"
"Fairfax","Fairfax city",6.40473035673494e-06,3.95178471990221e-06,2.90827820208506e-05,272.417022705078,"201001.nc4"
"Manassas","Manassas city",1.59870960487751e-05,1.02879766927799e-06,2.77639901469229e-05,272.750305175781,"201001.nc4"
"Arlington","Arlington County",4.95156336910441e-06,3.61504862667061e-06,2.71714634436648e-05,273.019104003906,"201001.nc4"
"Appomattox","Appomattox County",NA,NA,NA,NA,"201001.nc4"
"Bedford","Bedford County",NA,NA,NA,NA,"201001.nc4"
"Campbell","Campbell County",NA,NA,NA,NA,"201001.nc4"
"Lynchburg","Lynchburg city",NA,NA,NA,NA,"201001.nc4"
"Amherst","Amherst County",NA,NA,NA,NA,"201001.nc4"
"Bedford","Bedford city",NA,NA,NA,NA,"201001.nc4"
"Salem","Salem city",NA,NA,NA,NA,"201001.nc4"
"Franklin","Franklin County",NA,NA,NA,NA,"201001.nc4"
"Botetourt","Botetourt County",NA,NA,NA,NA,"201001.nc4"
"Roanoke","Roanoke County",NA,NA,NA,NA,"201001.nc4"
"Craig","Craig County",NA,NA,NA,NA,"201001.nc4"
"Roanoke","Roanoke city",NA,NA,NA,NA,"201001.nc4"
"Radford","Radford city",NA,NA,NA,NA,"201001.nc4"
"Giles","Giles County",NA,NA,NA,NA,"201001.nc4"
"Pulaski","Pulaski County",NA,NA,NA,NA,"201001.nc4"
"Montgomery","Montgomery County",NA,NA,NA,NA,"201001.nc4"
"Galax","Galax city",NA,NA,NA,NA,"201001.nc4"
"Lancaster","Lancaster County",1.39480962388916e-05,9.142974098116e-06,5.39202374056913e-05,274.372062683105,"201001.nc4"
"Buena Vista","Buena Vista city",NA,NA,NA,NA,"201001.nc4"
"Smyth","Smyth County",NA,NA,NA,NA,"201001.nc4"
"Southampton","Southampton County",1.36850130729727e-05,7.09261500257223e-06,4.91394857817795e-05,274.674652099609,"201001.nc4"
"Mecklenburg","Mecklenburg County",NA,NA,NA,NA,"201001.nc4"
"Rappahannock","Rappahannock County",NA,NA,NA,NA,"201001.nc4"
"Floyd","Floyd County",NA,NA,NA,NA,"201001.nc4"
"Covington","Covington city",NA,NA,NA,NA,"201001.nc4"
"Shenandoah","Shenandoah County",NA,NA,NA,NA,"201001.nc4"
"Wise","Wise County",NA,NA,NA,NA,"201001.nc4"
"Essex","Essex County",1.34921477053597e-05,5.69542869145932e-06,4.0584437686318e-05,273.697937011719,"201001.nc4"
"Lexington","Lexington city",NA,NA,NA,NA,"201001.nc4"
"Bath","Bath County",NA,NA,NA,NA,"201001.nc4"
"Grayson","Grayson County",NA,NA,NA,NA,"201001.nc4"
"Prince Edward","Prince Edward County",NA,NA,NA,NA,"201001.nc4"
"Greensville","Greensville County",NA,NA,NA,NA,"201001.nc4"
"Madison","Madison County",NA,NA,NA,NA,"201001.nc4"
"Emporia","Emporia city",NA,NA,NA,NA,"201001.nc4"
"Charlotte","Charlotte County",NA,NA,NA,NA,"201001.nc4"
"Buckingham","Buckingham County",NA,NA,NA,NA,"201001.nc4"
"Carroll","Carroll County",NA,NA,NA,NA,"201001.nc4"
"Russell","Russell County",NA,NA,NA,NA,"201001.nc4"
"Halifax","Halifax County",NA,NA,NA,NA,"201001.nc4"
"Middlesex","Middlesex County",1.35544826207479e-05,5.86060730256577e-06,4.7147188524832e-05,274.30094909668,"201001.nc4"
"Alleghany","Alleghany County",NA,NA,NA,NA,"201001.nc4"
"Norton","Norton city",NA,NA,NA,NA,"201001.nc4"
"King George","King George County",1.55694103796122e-05,2.90599280106107e-06,3.22231171594467e-05,273.436492919922,"201001.nc4"
"Westmoreland","Westmoreland County",1.50694604599266e-05,8.00458489417603e-06,3.89724794201489e-05,273.675035749163,"201001.nc4"
"Orange","Orange County",NA,NA,NA,NA,"201001.nc4"
"Patrick","Patrick County",NA,NA,NA,NA,"201001.nc4"
"Nottoway","Nottoway County",NA,NA,NA,NA,"201001.nc4"
"Page","Page County",NA,NA,NA,NA,"201001.nc4"
"Northumberland","Northumberland County",1.4365778042702e-05,1.16403434731183e-05,5.83050743443891e-05,274.153839111328,"201001.nc4"
"Wythe","Wythe County",NA,NA,NA,NA,"201001.nc4"
"Brunswick","Brunswick County",NA,NA,NA,NA,"201001.nc4"
"Richmond","Richmond County",1.44919236585598e-05,8.31977045631252e-06,4.89317343245992e-05,273.877275739397,"201001.nc4"
"Highland","Highland County",NA,NA,NA,NA,"201001.nc4"
"Bland","Bland County",NA,NA,NA,NA,"201001.nc4"
"Lunenburg","Lunenburg County",NA,NA,NA,NA,"201001.nc4"
"Rockbridge","Rockbridge County",NA,NA,NA,NA,"201001.nc4"
"Franklin","Franklin city",NA,NA,NA,NA,"201001.nc4"
"Lee","Lee County",NA,NA,NA,NA,"201001.nc4"
"Buchanan","Buchanan County",NA,NA,NA,NA,"201001.nc4"
"Dickenson","Dickenson County",NA,NA,NA,NA,"201001.nc4"
"Northampton","Northampton County",1.56680149302701e-05,4.44707802671473e-06,3.86120639935446e-05,275.326792399089,"201001.nc4"
